Names,Screen_name
Jenniffer Gonz�lez ,RepJenniffer
Jerrold Nadler ,RepJerryNadler
Jerry McNerney ,RepMcNerney
Jes�s Garc�a ,RepChuyGarcia
Jim Baird ,RepJimBaird
Jim Banks ,RepJimBanks
Jim Clyburn ,WhipClyburn
Jim Cooper ,RepJimCooper
Jim Costa ,RepJimCosta
Jim Hagedorn ,RepHagedorn
Jim Himes ,jahimes
Jim Jordan ,Jim_Jordan
Jim McGovern ,RepMcGovern
Jim Sensenbrenner ,JimPressOffice
Jimmy Gomez ,RepJimmyGomez
Jimmy Panetta ,RepJimmyPanetta
Joaqu�n Castro ,JoaquinCastrotx
Jodey Arrington ,RepArrington
Jody Hice ,congressmanhice
Joe Courtney ,RepJoeCourtney
Joe Cunningham ,RepCunningham
Joe Neguse ,RepJoeNeguse
Joe Wilson ,RepJoeWilson
John B. Larson,RepJohnLarson
John Carter ,JudgeCarter
John Curtis ,RepJohnCurtis
John Garamendi ,RepGaramendi
John Joyce ,RepJohnJoyce
John Katko ,RepJohnKatko
John Lewis ,RepJohnLewis
John Moolenaar ,RepMoolenaar
John Ratcliffe ,RepRatcliffe
John Rose ,RepJohnRose
John Rutherford ,RepRutherfordFL
John Sarbanes ,RepSarbanes
John Shimkus ,RepShimkus
John Yarmuth ,RepJohnYarmuth
Jos� E. Serrano,RepJoseSerrano
Joseph D. Morelle,RepJoeMorelle
Joseph P. Kennedy,RepJoeKennedy
Josh Gottheimer ,RepJoshG
Josh Harder ,RepJoshHarder
Joyce Beatty ,RepBeatty
Juan Vargas ,RepJuanVargas
Judy Chu ,RepJudyChu
Julia Brownley ,RepBrownley
Justin Amash ,justinamash
Karen Bass ,RepKarenBass
Katherine Clark ,RepKClark
Kathleen Rice ,RepKathleenRice
Kathy Castor ,USRepKCastor
Katie Hill ,RepKatieHill
Katie Porter ,RepKatiePorter
Kay Granger ,RepKayGranger
Kelly Armstrong ,RepArmstrongND
Ken Buck ,RepKenBuck
Ken Calvert ,KenCalvert
Kendra Horn ,RepKendraHorn
Kenny Marchant ,RepKenMarchant
Kevin Brady ,RepKevinBrady
Kevin Hern ,repkevinhern
Kevin McCarthy ,GOPLeader
Kim Schrier ,RepKimSchrier
Kurt Schrader ,RepSchrader
Lacy Clay ,LacyClayMO1
Lance Gooden ,Lancegooden
Larry Bucshon ,RepLarryBucshon
Lauren Underwood ,RepUnderwood
Lee Zeldin ,RepLeeZeldin
Linda S�nchez ,RepLindaSanchez
Lisa Blunt Rochester,RepLBR
Liz Cheney ,RepLizCheney
Lizzie Fletcher ,RepFletcher
Lloyd Doggett ,RepLloydDoggett
Lloyd Smucker ,RepSmucker
Lois Frankel ,RepLoisFrankel
Lori Trahan ,RepLoriTrahan
Lou Correa ,RepLouCorrea
Louie Gohmert ,RepLouieGohmert
Lucille Roybal-Allard ,RepRoybalAllard
Lucy McBath ,replucymcbath
Mac Thornberry ,MacTXPress
Madeleine Dean ,RepDean
Marc Veasey ,RepVeasey
Marcia Fudge ,RepMarciaFudge
Marcy Kaptur ,RepMarcyKaptur
Mario Diaz-Balart ,MarioDB
Mark Amodei ,MarkAmodeiNV2
Mark DeSaulnier ,RepDeSaulnier
Mark E. Green,RepMarkGreen
Mark Meadows ,RepMarkMeadows
Mark Pocan ,RepMarkPocan
Mark Takano ,RepMarkTakano
Mark Walker ,RepMarkWalker
Markwayne Mullin ,RepMullin
Martha Roby ,RepMarthaRoby
Mary Gay Scanlon,RepMGS
Matt Cartwright ,RepCartwright
Matt Gaetz ,RepMattGaetz
Max Rose ,RepMaxRose
Maxine Waters ,RepMaxineWaters
Michael Burgess ,MichaelCBurgess
Michael Cloud ,RepCloudTX
Michael F. Doyle,USRepMikeDoyle
Michael Guest ,RepMichaelGuest
Michael McCaul ,RepMcCaul
Michael San Nicolas,GuamCongressman
Michael Waltz ,RepMichaelWaltz
Mike Bost ,RepBost
Mike Conaway ,ConawayTX11
Mike Gallagher ,RepGallagher
Mike Johnson ,RepMikeJohnson
Mike Kelly ,MikeKellyPA
Mike Levin ,RepMikeLevin
Mike Quigley ,RepMikeQuigley
Mike Rogers ,RepMikeRogersAL
Mike Simpson ,CongMikeSimpson
Mike Thompson ,RepThompson
Mike Turner ,RepMikeTurner
Mikie Sherrill ,RepSherrill
Mo Brooks ,RepMoBrooks
Morgan Griffith ,RepMGriffith
Nancy Pelosi ,SpeakerPelosi
Nanette Barrag�n ,RepBarragan
Neal Dunn ,drnealdunnfl2
Nita Lowey ,NitaLowey
Norma Torres ,NormaJTorres
Nydia Vel�zquez ,NydiaVelazquez
Patrick McHenry ,PatrickMcHenry
Paul Cook ,RepPaulCook
Paul Gosar ,RepGosar
Paul Mitchell ,RepPaulMitchell
Paul Tonko ,RepPaulTonko
Pete Aguilar ,reppeteaguilar
Pete Olson ,RepPeteOlson
Pete Stauber ,RepPeteStauber
Pete Visclosky ,RepVisclosky
Peter DeFazio ,RepPeterDeFazio
Peter T. King,RepPeteKing
Peter Welch ,PeterWelch
Phil Roe ,DrPhilRoe
Pramila Jayapal ,RepJayapal
Raja Krishnamoorthi ,congressmanraja
Ralph Abraham ,RepAbraham
Ralph Norman ,RepRalphNorman
Randy Weber ,TXRandy14
Rashida Tlaib ,RepRashida
Raul Ruiz ,CongressmanRuiz
Ra�l Grijalva ,RepraulGrijalva
Richard Hudson ,RepRichHudson
Richard Neal ,RepRichardNeal
Rick Crawford ,RepRickCrawford
Rick Larsen ,RepRickLarsen
Rick W. Allen,reprickallen
Ro Khanna ,RepRoKhanna
Rob Bishop ,RepRobBishop
Rob Wittman ,RobWittman
Rob Woodall ,RepRobWoodall
Robert Aderholt ,Robert_Aderholt
Robin Kelly ,RepRobinKelly
Rodney Davis ,RodneyDavis
Roger Marshall ,RepMarshall
Roger Williams ,RepRWilliams
